# DESCRIPTION:
# Reference: Westerhold, T., Marwan, N., Drury, A. J., Liebrand, D., Agnini, C., Anagnostou, E., ... & Zachos, J. C. (2020). An astronomically dated record of Earth’s climate and its predictability over the last 66 million years. Science, 369(6509), 1383-1387, https://doi.org/10.1126/science.aba6853
#Data from: https://doi.org/10.1126/science.aba6853. Accessed 22 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

age_tuned [Ma BP],d18O interp,d13C interp,d18O LOESS LongTerm,d13C LOESS LongTerm
9.294,3.060,0.370,3.14201,0.42765
9.296,3.220,0.490,3.14186,0.42663
9.298,3.360,0.500,3.14169,0.42562
9.300,2.970,0.240,3.14149,0.42462
9.302,3.170,0.310,3.14127,0.42364
9.304,3.165,0.405,3.14103,0.42267
9.306,3.160,0.500,3.14077,0.4217
9.308,3.170,0.510,3.14051,0.42073
9.310,3.110,0.450,3.14025,0.41976
9.312,3.230,0.420,3.14,0.41879
9.314,3.040,0.480,3.13975,0.41782
9.316,3.060,0.520,3.1395,0.41685
9.318,3.025,0.525,3.13925,0.41588
9.320,2.990,0.530,3.139,0.41491
9.322,3.030,0.410,3.13875,0.41394
9.324,2.920,0.310,3.1385,0.41297
9.326,2.880,0.300,3.13826,0.412
9.328,3.090,0.260,3.13801,0.41103
9.330,3.140,0.220,3.13777,0.41006
9.332,3.115,0.310,3.13752,0.40909
9.334,3.090,0.400,3.13728,0.40813
9.336,3.170,0.330,3.13703,0.40716
9.338,3.170,0.200,3.13679,0.40619
9.340,3.300,0.160,3.13654,0.40523
9.342,3.370,0.430,3.1363,0.40426
9.344,3.290,0.480,3.13605,0.4033
9.346,3.230,0.450,3.13581,0.40234
9.348,3.170,0.420,3.13556,0.40138
9.350,3.220,0.390,3.13531,0.40042
9.352,3.050,0.430,3.13506,0.39947
9.354,3.170,0.370,3.13482,0.39851
9.356,3.130,0.480,3.13456,0.39756
9.358,3.080,0.500,3.13431,0.39661
9.360,3.030,0.500,3.13406,0.39566
9.362,2.980,0.500,3.13381,0.39472
9.364,2.960,0.500,3.13355,0.39377
9.366,2.960,0.200,3.13329,0.39283
9.368,3.050,0.310,3.13304,0.3919
9.370,2.920,0.370,3.13278,0.39096
9.372,3.170,0.310,3.13251,0.39003
9.374,3.145,0.315,3.13225,0.3891
9.376,3.120,0.320,3.13198,0.38818
9.378,3.100,0.430,3.13171,0.38725
9.380,3.200,0.410,3.13144,0.38634
9.382,3.270,0.360,3.13116,0.38542
9.384,3.060,0.320,3.13089,0.38451
9.386,3.280,0.400,3.13061,0.3836
9.388,2.990,0.390,3.13032,0.3827
9.390,3.040,0.385,3.13004,0.3818
9.392,3.090,0.380,3.12975,0.3809
9.394,3.100,0.440,3.12945,0.38001
9.396,2.950,0.520,3.12916,0.37913
9.398,3.010,0.470,3.12886,0.37825
9.400,2.930,0.430,3.12855,0.37737
9.402,2.810,0.330,3.12825,0.3765
9.404,2.950,0.370,3.12794,0.37563
9.406,3.030,0.400,3.12762,0.37477
9.408,3.100,0.320,3.1273,0.37391
9.410,3.190,0.270,3.12698,0.37306
9.412,3.240,0.340,3.12665,0.37221
9.414,3.290,0.160,3.12632,0.37137
9.416,3.130,0.220,3.12598,0.37054
9.418,3.240,0.120,3.12564,0.36971
9.420,3.170,0.110,3.12529,0.36889
9.422,3.220,0.190,3.12494,0.36807
9.424,3.320,0.080,3.12458,0.36726
9.426,3.200,0.050,3.12422,0.36645
9.428,3.240,-0.050,3.12385,0.36565
9.430,3.360,0.230,3.12348,0.36486
9.432,3.290,0.320,3.1231,0.36408
9.434,3.200,0.380,3.12272,0.3633
9.436,3.120,0.370,3.12233,0.36253
9.438,3.230,0.370,3.12193,0.36176
9.440,2.905,0.360,3.12152,0.361
9.442,2.950,0.370,3.12108,0.36026
9.444,3.050,0.330,3.12062,0.35952
9.446,3.000,0.290,3.12014,0.35879
9.448,3.250,0.230,3.11963,0.35808
9.450,3.080,0.280,3.1191,0.35737
9.452,3.290,0.310,3.11855,0.35667
9.454,3.170,0.060,3.11798,0.35598
9.456,3.290,0.240,3.11739,0.3553
9.458,3.370,0.270,3.11678,0.35462
9.460,3.160,0.120,3.11615,0.35396
9.462,3.220,0.180,3.11551,0.3533
9.464,3.140,0.290,3.11484,0.35265
9.466,3.160,0.350,3.11416,0.35201
9.468,3.140,0.370,3.11347,0.35137
9.470,3.290,0.210,3.11276,0.35074
9.472,3.160,0.390,3.11204,0.35012
9.474,3.250,0.290,3.1113,0.34951
9.476,3.040,0.370,3.11056,0.3489
9.478,3.015,0.290,3.1098,0.3483
9.480,3.000,0.410,3.10903,0.3477
9.482,3.070,0.180,3.10824,0.34711
9.484,2.930,0.200,3.10745,0.34653
9.486,3.040,0.300,3.10666,0.34595
9.488,3.060,0.220,3.10585,0.34538
9.490,2.860,0.270,3.10504,0.34481
9.492,3.210,0.110,3.10422,0.34425
9.494,3.170,0.280,3.10339,0.34369
9.496,3.300,0.220,3.10256,0.34314
9.498,3.260,0.255,3.10173,0.34259
9.500,3.220,0.290,3.10089,0.34204
9.502,3.300,0.350,3.10005,0.3415
9.504,3.160,0.330,3.09921,0.34097
9.506,3.220,0.240,3.09836,0.34043
9.508,3.180,0.370,3.09752,0.3399
9.510,3.120,0.520,3.09667,0.33938
9.512,3.120,0.435,3.09583,0.33885
9.514,2.930,0.490,3.09499,0.33833
9.516,2.950,0.415,3.09415,0.33781
9.518,2.970,0.340,3.09332,0.3373
9.520,2.760,0.160,3.09249,0.33678
9.522,2.835,0.225,3.09166,0.33627
9.524,2.910,0.290,3.09084,0.33576
9.526,3.260,0.210,3.09003,0.33525
9.528,3.190,0.180,3.08922,0.33474
9.530,3.290,0.190,3.08842,0.33424
9.532,3.230,0.200,3.08763,0.33373
9.534,3.280,0.160,3.08685,0.33323
9.536,3.300,0.200,3.08608,0.33272
9.538,3.250,0.150,3.08532,0.33222
9.540,3.180,0.300,3.08457,0.33171
9.542,3.190,0.220,3.08383,0.33121
9.544,3.090,0.360,3.08311,0.33071
9.546,3.160,0.370,3.0824,0.3302
9.548,3.160,0.470,3.0817,0.3297
9.550,2.990,0.460,3.08102,0.32919
9.552,3.080,0.460,3.08036,0.32869
9.554,2.960,0.520,3.07971,0.32818
9.556,2.905,0.440,3.07908,0.32767
9.558,2.850,0.360,3.07847,0.32716
9.560,2.930,0.490,3.07788,0.32665
9.562,2.910,0.220,3.07731,0.32613
9.564,3.040,0.400,3.07675,0.32561
9.566,2.970,0.390,3.07622,0.3251
9.568,3.170,0.390,3.07571,0.32457
9.570,3.260,0.420,3.07523,0.32405
9.572,3.180,0.350,3.07476,0.32351
9.574,3.180,0.340,3.0743,0.32296
9.576,3.040,0.430,3.07386,0.32239
9.578,3.160,0.430,3.07343,0.3218
9.580,3.140,0.410,3.07301,0.32119
9.582,3.040,0.440,3.0726,0.32057
9.584,3.100,0.470,3.0722,0.31994
9.586,3.010,0.530,3.07181,0.31929
9.588,2.920,0.510,3.07144,0.31863
9.590,3.010,0.450,3.07107,0.31796
9.592,2.850,0.530,3.07071,0.31728
9.594,2.980,0.380,3.07036,0.31658
9.596,2.810,0.410,3.07001,0.31588
9.598,2.660,0.500,3.06968,0.31517
9.600,2.710,0.395,3.06935,0.31445
9.602,2.760,0.290,3.06903,0.31373
9.604,2.740,0.340,3.06872,0.313
9.606,2.970,0.490,3.06841,0.31227
9.608,3.150,0.280,3.06811,0.31153
9.610,3.220,0.510,3.06781,0.31079
9.612,3.235,0.430,3.06752,0.31004
9.614,3.250,0.350,3.06723,0.3093
9.616,3.300,0.440,3.06695,0.30855
9.618,3.280,0.330,3.06667,0.30781
9.620,3.370,0.340,3.0664,0.30707
9.622,3.020,0.360,3.06613,0.30632
9.624,3.200,0.510,3.06586,0.30559
9.626,3.100,0.420,3.06559,0.30485
9.628,3.000,0.600,3.06533,0.30412
9.630,2.950,0.530,3.06507,0.3034
9.632,2.950,0.460,3.0648,0.30268
9.634,2.910,0.520,3.06454,0.30197
9.636,2.910,0.445,3.06428,0.30127
9.638,2.910,0.370,3.06402,0.30057
9.640,3.010,0.470,3.06376,0.29989
9.642,3.150,0.410,3.0635,0.29922
9.644,2.950,0.460,3.06324,0.29856
9.646,3.000,0.330,3.06297,0.29791
9.648,3.170,0.360,3.06271,0.29727
9.650,2.950,0.360,3.06244,0.29665
9.652,3.010,0.440,3.06217,0.29605
9.654,2.900,0.260,3.06189,0.29546
9.656,3.070,0.280,3.06161,0.29488
9.658,2.980,0.330,3.06133,0.29433
9.660,3.040,0.220,3.06105,0.29379
9.662,3.075,0.265,3.06076,0.29327
9.664,3.110,0.310,3.06046,0.29278
9.666,2.990,0.170,3.06016,0.2923
9.668,2.960,0.320,3.05985,0.29184
9.670,2.900,0.300,3.05954,0.29141
9.672,2.950,0.385,3.05922,0.29101
9.674,3.000,0.470,3.05889,0.29062
9.676,2.930,0.330,3.05855,0.29026
9.678,2.940,0.430,3.05821,0.28993
9.680,2.710,0.180,3.05786,0.28963
9.682,2.810,0.240,3.0575,0.28935
9.684,2.900,0.410,3.05713,0.2891
9.686,2.850,0.570,3.05675,0.28889
9.688,2.980,0.570,3.05636,0.2887
9.690,3.170,0.300,3.05596,0.28854
9.692,3.040,0.260,3.05556,0.28842
9.694,3.290,0.340,3.05514,0.28833
9.696,3.310,0.250,3.0547,0.28827
9.698,3.190,0.360,3.05426,0.28825
9.700,3.160,0.360,3.0538,0.28827
9.702,3.280,0.290,3.05334,0.28832
9.704,3.120,0.460,3.05286,0.28841
9.706,3.150,0.490,3.05237,0.28851
9.708,3.130,0.455,3.05188,0.28859
9.710,3.110,0.420,3.05139,0.28866
9.712,2.980,0.450,3.05089,0.28871
9.714,2.960,0.520,3.0504,0.28874
9.716,3.070,0.440,3.0499,0.28877
9.718,3.040,0.450,3.04941,0.28878
9.720,2.900,0.440,3.04891,0.28878
9.722,3.080,0.250,3.04841,0.28877
9.724,2.990,0.210,3.04791,0.28875
9.726,2.890,0.300,3.0474,0.28872
9.728,3.120,0.290,3.0469,0.28868
9.730,3.120,0.130,3.0464,0.28864
9.732,3.300,0.230,3.04589,0.28859
9.734,3.210,0.120,3.04538,0.28853
9.736,3.260,0.150,3.04487,0.28847
9.738,3.320,0.070,3.04437,0.28841
9.740,3.330,0.280,3.04386,0.28834
9.742,3.270,0.260,3.04335,0.28827
9.744,3.175,0.330,3.04283,0.2882
9.746,3.080,0.400,3.04232,0.28813
9.748,2.920,0.200,3.04181,0.28806
9.750,3.160,0.370,3.04129,0.288
9.752,3.010,0.230,3.04078,0.28793
9.754,3.000,0.260,3.04026,0.28787
9.756,2.950,0.340,3.03975,0.28782
9.758,3.010,0.350,3.03923,0.28777
9.760,2.960,0.400,3.03871,0.28772
9.762,2.800,0.280,3.03819,0.28768
9.764,2.870,0.350,3.03767,0.28765
9.766,2.840,0.310,3.03715,0.28763
9.768,2.820,0.230,3.03663,0.28762
9.770,2.875,0.010,3.03611,0.28762
9.772,2.910,0.040,3.03559,0.28763
9.774,3.020,-0.190,3.03507,0.28766
9.776,3.350,0.130,3.03455,0.28769
9.778,3.150,0.180,3.03403,0.28774
9.780,3.150,0.120,3.03351,0.28781
9.782,3.140,0.140,3.03298,0.28789
9.784,3.130,0.370,3.03246,0.28799
9.786,2.940,0.260,3.03194,0.2881
9.788,2.870,0.210,3.03142,0.28824
9.790,2.920,0.190,3.03089,0.28839
9.792,2.780,0.220,3.03037,0.28856
9.794,3.020,0.435,3.02985,0.28876
9.796,2.990,0.410,3.02932,0.28898
9.798,2.900,0.560,3.0288,0.28922
9.800,2.880,0.430,3.02828,0.28948
9.802,3.010,0.430,3.02775,0.28977
9.804,2.920,0.340,3.02723,0.29008
9.806,3.095,0.140,3.02671,0.29042
9.808,3.270,0.150,3.02619,0.29079
9.810,2.960,-0.110,3.02566,0.29119
9.812,3.460,0.330,3.02514,0.29161
9.814,3.260,0.300,3.02462,0.29207
9.816,3.310,0.310,3.0241,0.29255
9.818,3.515,0.285,3.02358,0.29307
9.820,3.100,0.380,3.02306,0.29362
9.822,3.096,0.342,3.02254,0.29421
9.824,3.092,0.304,3.02202,0.29482
9.826,3.088,0.266,3.0215,0.29548
9.828,3.084,0.228,3.02098,0.29617
9.830,3.080,0.190,3.02046,0.2969
9.832,2.820,0.310,3.01995,0.29766
9.834,2.950,0.210,3.01943,0.29846
9.836,2.900,0.120,3.01892,0.29931
9.838,2.890,0.200,3.01839,0.30019
9.840,2.965,0.220,3.01786,0.30111
9.842,2.990,-0.030,3.01732,0.30207
9.844,2.910,0.160,3.01677,0.30307
9.846,3.040,0.260,3.01621,0.30411
9.848,2.800,0.490,3.01564,0.30518
9.850,3.160,0.250,3.01507,0.30628
9.852,3.265,0.300,3.01448,0.30742
9.854,3.270,0.280,3.01389,0.3086
9.856,3.210,0.230,3.01328,0.3098
9.858,3.190,0.200,3.01268,0.31104
9.860,3.140,0.230,3.01206,0.3123
9.862,3.100,0.230,3.01144,0.3136
9.864,3.025,0.290,3.01081,0.31492
9.866,3.110,0.230,3.01018,0.31627
9.868,3.070,-0.280,3.00954,0.31765
9.870,2.990,0.380,3.00889,0.31906
9.872,3.030,0.260,3.00824,0.32048
9.874,3.220,0.370,3.00759,0.32194
9.876,3.100,0.220,3.00693,0.32341
9.878,2.790,0.100,3.00627,0.32491
9.880,2.980,0.140,3.0056,0.32643
9.882,2.480,-0.120,3.00493,0.32798
9.884,2.730,0.060,3.00426,0.32954
9.886,3.000,-0.130,3.00359,0.33112
9.888,2.760,-0.030,3.00291,0.33271
9.890,3.050,0.030,3.00224,0.33433
9.892,3.030,-0.020,3.00156,0.33596
9.894,3.120,0.120,3.00088,0.3376
9.896,3.200,0.230,3.0002,0.33926
9.898,3.240,-0.020,2.99951,0.34094
9.900,3.230,-0.170,2.99883,0.34262
9.902,3.140,0.060,2.99815,0.34432
9.904,3.180,0.030,2.99747,0.34603
9.906,3.140,0.200,2.99679,0.34775
9.908,2.900,0.130,2.99612,0.34948
9.910,2.920,0.140,2.99544,0.35121
9.912,3.020,0.320,2.99477,0.35296
9.914,3.040,0.295,2.99409,0.35471
9.916,3.020,0.460,2.99343,0.35646
9.918,3.010,0.400,2.99276,0.35822
9.920,3.010,0.460,2.9921,0.35998
9.922,2.870,0.390,2.99144,0.36175
9.924,2.970,0.450,2.99078,0.36352
9.926,2.960,0.410,2.99014,0.36529
9.928,3.060,0.230,2.98949,0.36706
9.930,2.960,0.190,2.98885,0.36883
9.932,3.090,0.270,2.98822,0.37059
9.934,3.190,0.410,2.98759,0.37236
9.936,3.100,0.330,2.98697,0.37412
9.938,3.090,0.540,2.98635,0.37588
9.940,3.180,0.280,2.98574,0.37763
9.942,3.000,0.250,2.98514,0.37937
9.944,3.080,0.450,2.98454,0.38111
9.946,3.320,0.360,2.98396,0.38284
9.948,3.100,0.410,2.98338,0.38457
9.950,3.230,0.350,2.98281,0.38628
9.952,2.950,0.240,2.98225,0.38798
9.954,3.080,0.310,2.9817,0.38967
9.956,3.070,0.430,2.98116,0.39135
9.958,3.010,0.450,2.98063,0.39302
9.960,2.990,0.440,2.98011,0.39467
9.962,2.890,0.450,2.9796,0.39631
9.964,2.880,0.390,2.9791,0.39793
9.966,2.840,0.410,2.97861,0.39953
9.968,2.860,0.430,2.97813,0.40112
9.970,2.985,0.455,2.97767,0.40269
9.972,2.790,0.410,2.9772,0.40429
9.974,2.890,0.550,2.97673,0.406
9.976,2.880,0.500,2.97624,0.40779
9.978,2.810,0.570,2.97575,0.40968
9.980,2.830,0.530,2.97524,0.41166
9.982,2.780,0.420,2.97472,0.41372
9.984,2.790,0.370,2.9742,0.41586
9.986,2.880,0.590,2.97366,0.41807
9.988,2.700,0.520,2.97312,0.42037
9.990,2.820,0.390,2.97257,0.42273
9.992,3.040,0.540,2.97201,0.42517
9.994,2.890,0.570,2.97145,0.42767
9.996,2.990,0.650,2.97088,0.43024
9.998,2.845,0.585,2.9703,0.43287
10.000,2.700,0.520,2.96972,0.43555
10.002,2.810,0.580,2.96913,0.43829
10.004,2.680,0.660,2.96853,0.44108
10.006,2.860,0.710,2.96794,0.44392
10.008,2.850,0.670,2.96733,0.4468
10.010,2.700,0.620,2.96673,0.44973
10.012,2.690,0.560,2.96612,0.4527
10.014,2.930,0.610,2.9655,0.4557
10.016,2.770,0.460,2.96489,0.45874
10.018,3.160,0.510,2.96427,0.46181
10.020,3.020,0.340,2.96366,0.46491
10.022,3.010,0.480,2.96304,0.46803
10.024,3.110,0.540,2.96242,0.47117
10.026,3.100,0.420,2.96179,0.47434
10.028,3.090,0.510,2.96117,0.47752
10.030,3.070,0.580,2.96055,0.48071
10.032,3.055,0.610,2.95994,0.48391
10.034,3.040,0.640,2.95932,0.48712
10.036,3.000,0.590,2.9587,0.49033
10.038,2.990,0.530,2.95809,0.49355
10.040,2.910,0.690,2.95748,0.49676
10.042,2.877,0.637,2.95687,0.49997
10.044,2.843,0.583,2.95627,0.50317
10.046,2.810,0.530,2.95567,0.50636
10.048,2.880,0.560,2.95507,0.50954
10.050,2.880,0.680,2.95448,0.5127
10.052,2.905,0.630,2.95389,0.51584
10.054,2.930,0.580,2.95331,0.51895
10.056,2.750,0.550,2.95274,0.52205
10.058,3.010,0.510,2.95217,0.52511
10.060,2.860,0.470,2.95161,0.52814
10.062,2.935,0.470,2.95106,0.53114
10.064,3.010,0.470,2.95051,0.5341
10.066,2.910,0.510,2.94997,0.53702
10.068,2.910,0.450,2.94944,0.5399
10.070,2.890,0.410,2.94892,0.54273
10.072,2.870,0.370,2.94841,0.54551
10.074,3.090,0.520,2.94791,0.54824
10.076,3.023,0.567,2.94742,0.55091
10.078,2.957,0.613,2.94694,0.55353
10.080,2.890,0.660,2.94647,0.55608
10.082,2.910,0.670,2.94601,0.55857
10.084,2.670,0.590,2.94557,0.561
10.086,2.800,0.730,2.94513,0.56335
10.088,2.805,0.775,2.94471,0.56563
10.090,2.810,0.820,2.94431,0.56784
10.092,2.960,0.690,2.94391,0.56996
10.094,3.000,0.680,2.94353,0.57201
10.096,2.860,0.380,2.94317,0.57397
10.098,2.990,0.515,2.94282,0.57584
10.100,3.120,0.650,2.94248,0.57762
10.102,3.180,0.690,2.94216,0.57931
10.104,3.120,0.730,2.94186,0.58097
10.106,3.120,0.680,2.94159,0.58268
10.108,3.120,0.630,2.94134,0.58443
10.110,3.100,0.730,2.94111,0.58623
10.112,3.120,0.690,2.94091,0.58806
10.114,3.065,0.735,2.94072,0.58994
10.116,3.010,0.780,2.94056,0.59185
10.118,2.790,0.680,2.94042,0.59379
10.120,3.020,0.700,2.9403,0.59577
10.122,2.890,0.645,2.94019,0.59778
10.124,2.760,0.590,2.94011,0.59982
10.126,2.970,0.680,2.94004,0.60188
10.128,2.990,0.690,2.93999,0.60397
10.130,3.020,0.705,2.93995,0.60608
10.132,3.050,0.720,2.93993,0.60822
10.134,2.900,0.630,2.93993,0.61037
10.136,2.860,0.550,2.93994,0.61254
10.138,2.800,0.555,2.93996,0.61472
10.140,2.740,0.560,2.93999,0.61692
10.142,2.900,0.510,2.94004,0.61913
10.144,2.970,0.595,2.94009,0.62135
10.146,3.040,0.680,2.94016,0.62358
10.148,3.000,0.660,2.94024,0.62581
10.150,3.040,0.630,2.94033,0.62805
10.152,2.990,0.575,2.94042,0.63029
10.154,2.940,0.520,2.94052,0.63252
10.156,2.980,0.610,2.94063,0.63476
10.158,2.810,0.520,2.94075,0.63699
10.160,2.870,0.570,2.94087,0.63922
10.162,2.930,0.620,2.941,0.64144
10.164,2.790,0.500,2.94113,0.64365
10.166,2.800,0.570,2.94126,0.64584
10.168,2.840,0.560,2.9414,0.64803
10.170,2.880,0.550,2.94154,0.6502
10.172,2.890,0.540,2.94168,0.65235
10.174,2.930,0.605,2.94182,0.65448
10.176,2.970,0.670,2.94196,0.65659
10.178,2.880,0.570,2.9421,0.65868
10.180,2.940,0.680,2.94224,0.66074
10.182,3.085,0.730,2.94237,0.66277
10.184,3.230,0.780,2.94251,0.66478
10.186,2.760,0.560,2.94264,0.66675
10.188,2.845,0.610,2.94276,0.6687
10.190,2.930,0.660,2.94288,0.6706
10.192,2.710,0.490,2.943,0.67248
10.194,2.840,0.580,2.94311,0.67431
10.196,2.780,0.460,2.94321,0.6761
10.198,2.720,0.340,2.9433,0.67785
10.200,2.830,0.560,2.94339,0.67955
10.202,3.120,0.770,2.94346,0.68121
10.204,3.090,0.720,2.94353,0.68282
10.206,3.060,0.670,2.94359,0.68438
10.208,2.910,0.600,2.94363,0.68589
10.210,2.955,0.640,2.94366,0.68734
10.212,3.000,0.680,2.94369,0.68874
10.214,2.920,0.710,2.94369,0.69008
10.216,2.947,0.730,2.94369,0.69136
10.218,2.973,0.750,2.94366,0.69258
10.220,3.000,0.770,2.94363,0.69374
10.222,3.010,0.690,2.94357,0.69483
10.224,2.850,0.720,2.9435,0.69585
10.226,2.925,0.750,2.94342,0.6968
10.228,3.000,0.780,2.94331,0.69768
10.230,2.920,0.820,2.94319,0.69849
10.232,2.980,0.770,2.94304,0.69922
10.234,2.950,0.825,2.94288,0.69988
10.236,2.920,0.880,2.94269,0.70046
10.238,2.880,0.790,2.94251,0.70099
10.240,2.870,0.785,2.94235,0.70151
10.242,2.860,0.780,2.94221,0.70201
10.244,2.880,0.770,2.94209,0.70251
10.246,2.800,0.760,2.94199,0.70299
10.248,2.840,0.760,2.94191,0.70346
10.250,2.880,0.760,2.94186,0.70391
10.252,2.930,0.640,2.94181,0.70435
10.254,2.925,0.650,2.94179,0.70478
10.256,2.920,0.660,2.94179,0.70519
10.258,2.950,0.590,2.9418,0.70559
10.260,3.100,0.660,2.94182,0.70597
10.262,3.125,0.645,2.94186,0.70633
10.264,3.150,0.630,2.94191,0.70668
10.266,3.110,0.510,2.94198,0.70701
10.268,3.110,0.510,2.94205,0.70732
10.270,3.195,0.590,2.94214,0.70762
10.272,3.280,0.670,2.94224,0.70789
10.274,3.180,0.580,2.94235,0.70815
10.276,3.130,0.690,2.94246,0.70839
10.278,3.100,0.700,2.94259,0.70861
10.280,3.070,0.710,2.94272,0.70881
10.282,2.930,0.580,2.94286,0.70899
10.284,2.800,0.690,2.943,0.70915
10.286,2.830,0.670,2.94315,0.70928
10.288,2.830,0.710,2.9433,0.7094
10.290,2.830,0.750,2.94345,0.70949
10.292,2.930,0.740,2.94361,0.70957
10.294,2.970,0.780,2.94377,0.70962
10.296,2.780,0.670,2.94393,0.70964
10.298,2.865,0.720,2.94409,0.70964
10.300,2.950,0.770,2.94425,0.70962
10.302,2.880,0.830,2.9444,0.70958
10.304,2.820,0.680,2.94456,0.70951
10.306,2.750,0.635,2.94471,0.70941
10.308,2.680,0.590,2.94485,0.70929
10.310,2.720,0.560,2.94499,0.70914
10.312,2.770,0.520,2.94513,0.70897
10.314,2.890,0.650,2.94526,0.70877
10.316,2.930,0.630,2.94538,0.70854
10.318,2.970,0.610,2.9455,0.70828
10.320,3.030,0.770,2.9456,0.708
10.322,2.950,0.750,2.9457,0.70769
10.324,2.870,0.870,2.94578,0.70735
10.326,2.850,0.835,2.94586,0.70698
10.328,2.830,0.800,2.94592,0.70658
10.330,2.800,0.750,2.94597,0.70615
10.332,2.820,0.580,2.946,0.70568
10.334,2.825,0.650,2.94602,0.70519
10.336,2.830,0.720,2.94603,0.70467
10.338,2.990,0.780,2.94602,0.70412
10.340,3.040,0.720,2.94599,0.70353
10.342,3.090,0.660,2.94595,0.70291
10.344,3.080,0.675,2.94588,0.70226
10.346,3.070,0.690,2.9458,0.70157
10.348,3.100,0.470,2.9457,0.70085
10.350,3.150,0.740,2.94557,0.7001
10.352,3.145,0.750,2.94543,0.69931
10.354,3.140,0.760,2.94526,0.69849
10.356,3.115,0.715,2.94507,0.69763
10.358,3.090,0.670,2.94485,0.69673
10.360,2.880,0.700,2.94462,0.6958
10.362,2.980,0.725,2.94435,0.69483
10.364,3.080,0.750,2.94406,0.69383
10.366,3.040,0.735,2.94374,0.69279
10.368,3.000,0.720,2.94339,0.69171
10.370,3.060,0.840,2.94302,0.69057
10.372,2.920,0.695,2.94261,0.68935
10.374,2.780,0.550,2.94217,0.68804
10.376,2.990,0.715,2.9417,0.68666
10.378,3.200,0.880,2.94121,0.68521
10.380,2.990,0.860,2.94069,0.68368
10.382,2.985,0.775,2.94014,0.68208
10.384,2.980,0.690,2.93956,0.68041
10.386,2.995,0.655,2.93897,0.67867
10.388,3.010,0.620,2.93834,0.67687
10.390,2.930,0.820,2.9377,0.675
10.392,2.940,0.765,2.93703,0.67307
10.394,2.950,0.710,2.93634,0.67108
10.396,2.890,0.670,2.93563,0.66903
10.398,2.895,0.705,2.93491,0.66693
10.400,2.900,0.740,2.93416,0.66477
10.402,2.925,0.745,2.9334,0.66256
10.404,2.950,0.750,2.93262,0.6603
10.406,2.950,0.680,2.93182,0.65799
10.408,2.930,0.705,2.93101,0.65563
10.410,2.910,0.730,2.93018,0.65323
10.412,3.000,0.675,2.92935,0.65079
10.414,3.090,0.620,2.9285,0.64831
10.416,3.060,0.760,2.92764,0.64578
10.418,3.035,0.730,2.92677,0.64323
10.420,3.010,0.700,2.92588,0.64063
10.422,3.020,0.600,2.92499,0.63801
10.424,3.000,0.610,2.9241,0.63535
10.426,2.980,0.620,2.92319,0.63266
10.428,2.960,0.625,2.92228,0.62995
10.430,2.940,0.630,2.92137,0.62722
10.432,2.920,0.710,2.92045,0.62445
10.434,2.910,0.665,2.91953,0.62167
10.436,2.900,0.620,2.9186,0.61887
10.438,3.300,0.950,2.91768,0.61606
10.440,3.115,0.865,2.91675,0.61322
10.442,2.930,0.780,2.91582,0.61038
10.444,2.825,0.700,2.9149,0.60752
10.446,2.720,0.620,2.91398,0.60465
10.448,2.900,0.740,2.91306,0.60178
10.450,2.755,0.620,2.91214,0.5989
10.452,2.610,0.500,2.91123,0.59602
10.454,2.750,0.530,2.91032,0.59314
10.456,2.740,0.575,2.90943,0.59025
10.458,2.730,0.620,2.90853,0.58737
10.460,2.730,0.570,2.90765,0.58449
10.462,2.840,0.570,2.90678,0.58162
10.464,3.010,0.720,2.90591,0.57876
10.466,3.020,0.680,2.90506,0.57591
10.468,3.080,0.620,2.90422,0.57307
10.470,2.880,0.570,2.90339,0.57025
10.472,2.950,0.620,2.90258,0.56744
10.474,2.990,0.660,2.90178,0.56464
10.476,2.875,0.570,2.90099,0.56187
10.478,2.840,0.630,2.90023,0.55912
10.480,2.860,0.600,2.89948,0.5564
10.482,2.950,0.640,2.89874,0.5537
10.484,2.890,0.670,2.89803,0.55103
10.486,2.910,0.690,2.89734,0.54839
10.488,2.860,0.680,2.89666,0.54578
10.490,2.860,0.580,2.89601,0.5432
10.492,2.800,0.470,2.89539,0.54066
10.494,2.830,0.450,2.89478,0.53815
10.496,2.870,0.460,2.8942,0.53569
10.498,2.900,0.470,2.89365,0.53327
10.500,2.920,0.610,2.89312,0.53089
10.502,3.080,0.580,2.89262,0.52855
10.504,2.970,0.540,2.89211,0.52617
10.506,2.970,0.510,2.89158,0.52363
10.508,2.970,0.480,2.89102,0.52094
10.510,2.920,0.450,2.89043,0.51811
10.512,2.860,0.400,2.88982,0.51514
10.514,2.730,0.430,2.88918,0.51204
10.516,2.920,0.420,2.88852,0.50881
10.518,2.780,0.560,2.88783,0.50546
10.520,2.950,0.700,2.88712,0.50199
10.522,2.845,0.640,2.88639,0.49841
10.524,2.790,0.590,2.88564,0.49472
10.526,2.810,0.590,2.88488,0.49092
10.528,2.750,0.420,2.88409,0.48703
10.530,2.710,0.480,2.88329,0.48305
10.532,2.760,0.480,2.88247,0.47897
10.534,2.910,0.580,2.88163,0.47482
10.536,2.840,0.510,2.88079,0.47058
10.538,3.005,0.560,2.87993,0.46627
10.540,2.940,0.480,2.87905,0.4619
