"KS test parameters: w_min = 0.5, w_max = 10, n_w = 12, d_c = 0.77, n_c = 3"
"Right column indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling"

year,jump
97.585,1
103.455,1
115.48,-1
133.635,-1
152.005,1
164.87,1
172.795,-1
181.975,1
202.1,-1
207.17,1
209.59,1
211.04,-1
214.97,-1
242.84,-1
258.34,-1
290.055,-1
311.935,1
320.48,1
335.24,-1
366.37,1
374.405,-1
374.9,1
379.385,1
385.845,-1
386.895,-1
387.835,1
392.635,1
395.41,1
420.075,-1
