# KS test parameters: w_min = 0.12, w_max = 2.5, n_w = 15, d_c = 0.77, n_c = 3, s_c = 2
# The sign of a jump indicates direction: 1 = up, -1 = down, e.g. abrupt warming vs. abrupt cooling

time,jump
12.609,-1
17.3585,-1
23.229,1
37.9355,1
39.8995,-1
48.143,-1
50.8715,1
55.7305,-1
56.9,1
61.294,-1
68.998,1
74.051,1
77.567,-1
78.981,1
84.8925,-1
93.941,1
105.075,-1
108.505,-1
113.545,1
117.935,1
